NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Glycyrrhiza lepidota,FABACEAE,GLLE3,4-Oct-19,CBG-10503,10503,CBG,,"Zaideman, J.",US,,,Montana,Sweet Grass,,,,"45°50' 35"" N","109°54' 22"" W",45.84305,-109.90611,GPS,WGS84,,FT,Julie Zaideman,,,,,,,private property,,,100 plants sampled,200,1,P,,,D. Sollenberger - CBG,2,,,,,1,,WEB,3,,1-Apr-20,GLYCYRRHIZA,lepidota,2019,
Muhlenbergia sobolifera,POACEAE,MUSO,9-Oct-19,CBG-10504,10504,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,Washington County State Recreation Area,,"NE 1/4 Sect 7 T35-R2W Bolo Township, Washington Co., IL. 4 miles SSE Nashville (Woodland 18.46 may cross over into SE 1.4 Sec 7).","38°16' 54.3"" N","89°21' 21.5"" W",38.28175,-89.35597,GPS,WGS84,570,FT,IDNR,Muhlenbergia mexicana:Agrostis perennans:Acalypha virginica:Hedeoma pulegioides:Solidago ulmifolia:Circaea lutetiana ssp. canadensis:Quercus stellata:Quercus velutina:Carya glabra,Burned,"Broad summits, crests, interfluves",,,"dry, mesic woodland",State recreation area,till plain,Other : silt loam,363 plants sampled,1000,5,P,,,M. Kemper,2,,,,,1,,WEB,1.5,dark brown,3-Apr-20,MUHLENBERGIA,sobolifera,2019,
Aureolaria flava,SCROPHULARIACEAE,AUFL,23-Oct-19,CBG-10505,10505,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,Washington County State Recreation Area,,"NE 1.4 Section 18 T35-R2W Bolo Township, 4 mi SSE of Nashville.","38°16' 18.7"" N","89°21' 9.1"" W",38.27186,-89.35252,GPS,WGS84,530,FT,IDNR,Porteranthus stipulatus:Solidago ulmifolia:Solidago nemoralis:Liatris squarrosa:Symphyotrichum anomalum:Symphyotrichum turbinellum:Lespedeza violacea:Lespedeza virginica:Helianthus divaricatus:Coreopsis tripteris:Desmodium perplexum:Dichanthelium latifolium:Quercus alba,Burned,"Side slopes, back slopes",,,dry mesic woodland,recreation,till plain,,200 plants sampled,800,2,P,,,M. Kemper,2,,,,,1,,WEB,4,dark grayish brown,3-Apr-20,AUREOLARIA,flava,2019,
Desmodium obtusum,FABACEAE,DEOB5,27-Oct-19,CBG-10506,10506,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,Washington County State Recreation Park,,NE 1.4 Section 18 T35-R2w Bolo township 4 miles SSE of Nashville.,"38°16' 8.6"" N","89°21' 17.5"" W",38.26905,-89.35486,GPS,WGS84,550,FT,IDNR,Porteranthus stipulatus:Symphyotrichum anomalum:Symphyotrichum patens:Solidago ulmifolia:Solidago nemoralis:Helianthus divaricatus:Lespedeza violacea:Desmodium perplexum:Rosa carolina:Rubus flagellaris:Quercus stellata:Rhus copallina var. latifolia,Burned,"Side slopes, back slopes",,,"dry, mesic woodland",recreation,till plain,,158 plants sampled,500,3,P,,,M. Kemper,2,,,,,1,,WEB,2,dark grayish brown,3-Apr-20,DESMODIUM,obtusum,2019,
Desmodium perplexum,FABACEAE,DEPE80,27-Oct-19,CBG-10507,10507,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,Washington County State Recreation Area,,NE 1/4 Section 18 t35 - R2W Bolo Township 4 miles SSE of Nashville.,"38°16' 8.7"" N","89°21' 17.4"" W",38.26908,-89.35483,GPS,WGS84,550,FT,IDNR,Porteranthus stipulatus:Symphyotrichum turbinellum:Symphyotrichum turbinellum:Solidago ulmifolia:Solidago nemoralis:Solidago speciosa:Helianthus divaricatus:Lespedeza violacea:Desmodium obtusum:Hieracium gronovii:Rubus flagellaris:Quercus stellata:Rhus copallina var. latifolia,Burned,"Side slopes, back slopes",,,"dry, mesic woodland",recreation,till plain,Other : silt loam,134 plants sampled,500,3,P,,,M. Kemper,2,,,,,1,,WEB,3,dark grayish brown,3-Apr-20,DESMODIUM,perplexum,2019,
Liatris squarrulosa,ASTERACEAE,LISQ2,2-Nov-19,CBG-10508,10508,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,Washington County State Recreation Area,,NE 1/4 Section 18 T35-R2w Bolo township 4 miles SSE Nashville.,"38°16' 8.25"" N","89°21' 18.5"" W",38.26895,-89.35513,GPS,WGS84,545,FT,IDNR,Porteranthus stipulatus:Dichanthelium boscii:Solidago nemoralis:Solidago ulmifolia:Solidago speciosa:Symphyotrichum patens:Symphyotrichum turbinellum:Desmodium perplexum:Desmodium perplexum:Lespedeza virginica:Lespedeza violacea:Helianthus divaricatus:Quercus stellata,Burned,"Side slopes, back slopes",,,"dry, mesic woodland",recreation,till plain,Other : silt loam,204 plants sampled,1000,3,P,,,M. Kemper,2,,,,,1,,WEB,4,dark grayish brown,3-Apr-20,LIATRIS,squarrulosa,2019,
Dichanthelium dichotomum var. dichotomum,POACEAE,DIDID,22-Jun-19,CBG-10509,10509,CBG,,"Kemper, M.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Washington,,,SW 1/4 Section 28 T3S - R4W. 3.5 miles SW of Oakdale. 1500' NW of junction of County Hwy 16 and Ford Road.,"38°14' 5.3"" N","89°32' 44.1"" W",38.2348,-89.54558,GPS,WGS84,568,FT,Dan Emge,Carex lupulina:Scirpus georgianus:Vernonia missurica:Orbexilum pedunculatum var. psoralioides:Carex bushii:Pycnanthemum tenuifolium:Juncus biflorus,Mowed,broad summit,,,Wet meadow in flat woods,Uncultivated wet meadow,till plain,Other : silt loam,80 plants sampled,120,0.05,P,,,M. Kemper,2,,,,,1,,WEB,2,dark grayish brown,3-Apr-20,DICHANTHELIUM,dichotomum,2019,
Agalinis gattingeri,SCROPHULARIACEAE,AGGA,9/25/2019,CBG-10510,10510,CBG,,Kevin Doyle,USA,,,Wisconsin,Sauk,,Devil's Lake State Park,East Bluff State Natural Area,43.415362,-89.724346,43.415362,-89.724346,GPS,NAD83,,,,"Solidago nemoralis, Coreopsis palmata, Liatris aspera, Symphyotrichum pilosum, Helianthus strumosus, Poa compressa, Carex sp., Dicanthelium acuminatum va. fasciculatum. Commandra umbellata, Viola spp.",,,,,dry prairie between bluff edge and dry-mesic forest,state natural area/state park,Baraboo quartzite,,40,400,,P,forb,,,,,,,,,34527,,1,,12/11/2019,AGALINIS,gattingeri,2019,
Liatris aspera,ASTERACEAE,LIAS,25-Sep-19,CBG-10517,10517,CBG,,"Niday, P.",US,57E,Huron/ Erie Lake Plain (Omernik),Ohio,Lucas,Oak Opening Preserve,,"Open, sandy areas on North and South side of ski trail, East of Ostrich Lane, West of sandy ridge. Ostrich Barren OO03.",,,.,.,GPS,NAD83,,FT,Metroparks Toledo,Desmodium marilandicum:Lechea mucronata:Lespedeza capitata:Liatris squarrosa:Quercus sp.:Schizachyrium scoparium:Solidago nemoralis,,hill,,,"open, barren, dunal",protected area,"ancient shoreline, Warren beach",Sand,85 plants sampled,500,3.6,P,,,P. Niday,2,,,,,1,,MJO,3,"yellow, tan",1-Apr-21,LIATRIS,aspera,2019,
Liatris spicata,ASTERACEAE,LISP,2-Oct-19,CBG-10518,10518,CBG,,"Niday, P.",US,57E,Huron/ Erie Lake Plain (Omernik),Ohio,Lucas,Kitty Todd Nature Preserve,Mancy Tract,"wet prairie on the north side of Old State Line Road, west of Whitehouse Spencer Road, east of South Raab Road",,,.,.,,NAD83,668,FT,TNC,Andropogon gerardii:Cladium mariscoides:Euthamia gymnospermoides:Juncus biflorus:Juncus canadensis:Pycnanthemum virginianum:Oligoneuron riddellii,,,,,wet prairie,protected area,"ancient shoreline, Warren Beach",,80 plants sampled,600,1.3,P,,,P. Niday,2,,,,,1,,WEB,3.5,"brown, gray",8-Apr-20,LIATRIS,spicata,2019,
