NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Sisyrinchium albidum,IRIDACEAE,SIAL3,15-Jun-19,CBG-10532,10532,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,Route 66 Prairie,,,"39°13' 51.98"" N","89°38' 26.92"" W",39.2311,-89.64081,GPS,WGS84,,FT,IDOT,Antennaria neglecta:Houstonia longifolia:Lobelia spicata:Liatris aspera:Euphorbia corollata:Carex bushii:Carex umbellata:Carex brevior:Sorghastrum nutans:Schizachyrium scoparium:Setaria parviflora:Fragaria virginiana:Sabatia angularis:Desmodium illinoense:Desmodium canadense,Other,plain,,,prairie,conservation,southern Illinois till plain,Clay,100 plants sampled,200,,P,,,H. Eilers,2,,,,,,,WEB,0.75,light gray,9-Apr-20,SISYRINCHIUM,albidum,2019,
Carex bicknellii,CYPERACEAE,CABI3,19-Jun-19,CBG-10533,10533,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"RR prairie alongRte 16, North of Witt.","39°13' 45.97"" N","89°22' 37.60"" W",39.22943,-89.37711,GPS,WGS84,600,FT,RR and /or IDOT,Digitaria sp.:Erechtites hieraciifolius:Echinochloa sp.:Carex lupulina:Carex brevior:Galium aparine:Schedonorus pratensis,severe herbicide use,plain,,,prairie,transportation,southern Illinois till plain,"Clay, Silt",40 plants sampled,40,1,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,3,black,11-Aug-20,CAREX,bicknellii,2019,
Asarum canadense,ARISTOLOCHIACEAE,ASCA,15-May-19,CBG-10534,10534,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Shoal Creek CA, floodplain forest below dam.","39°11' 04.31"" N","89°36' 12.81"" W",39.18453,-89.60355,GPS,WGS84,590,FT,,Populus deltoides:Quercus macrocarpa:Quercus rubra:Quercus bicolor:Staphylea trifolia:Claytonia virginica:Floerkea proserpinacoides:Diarrhena americana:Carex shortiana:Mertensia virginica:Geranium maculatum:Polemonium reptans,,,,,floodplain forest,conservation,southern Illinois till plain,Clay,100 plants sampled,200,2,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,0.25,dark,11-Aug-20,ASARUM,canadense,2019,
Myosotis verna,BORAGINACEAE,MYVE,14-Jun-19,CBG-10535,10535,CBG,,"Eilers, H.",US,68E,Southwestern Appalachians (Omernik),Illinois,Montgomery,,,"Shoal Creek CA, nature trail and adjacent barren ground above the lake shore.","39°11' 58.50"" N","89°345' 42.12"" W",39.19958,-94.7617,GPS,WGS84,610,FT,City of Litchfield,Lechea tenuifolia:Danthonia spicata:Juncus tenuis:Liatris aspera:Krigia biflora:Quercus alba:Quercus stellata:Quercus velutina:Amelanchier arborea,,,,,woodland edge,conservation,southern Illinois till plain,Clay,50 plants sampled,60,5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,1,light gray,11-Aug-20,MYOSOTIS,verna,2019,
Carex albicans,CYPERACEAE,CAAL25,20-May-19,CBG-10536,10536,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Shoal Creek CA, along nature trail.","39°11' 16.83"" N","89°35' 47.01"" W",39.188,-89.59639,GPS,WGS84,650,FT,City of Litchfield,Fraxinus americana:Cornus drummondii:Quercus alba:Quercus velutina:Quercus palustris:Carex sp.:Bromus pubescens:Claytonia virginica:Thalictrum revolutum:Zizia aurea,Burned,upland,0,,old field,conservation,southern Illinois till plain,Clay,40 plants sampled,40,4,P,Plant numbers estimated.,,H. Eilers,1,,,,,,,WEB,0.5,light gray,11-Aug-20,CAREX,albicans,2019,
Corydalis flavula,PAPAVERACEAE,COFL3,15-May-19,CBG-10539,10539,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Shoal Creek CA, below dam.","39°11' 58.50"" N","89°35' 41.12"" W",39.19958,-89.59475,GPS,WGS84,580,FT,City of Litchfield,Acer saccharinum:Acer negundo:Betula nigra:Fraxinus pennsylvanica:Stellaria media:Asarum canadense:Hydrophyllum virginianum:Hydrophyllum appendiculatum:Claytonia virginica:Dicentra:Viola pubescens:Viola sororia:Viola striata:Mertensia virginica:Arisaema triphyllum,,plain,0,,flood plain forest,conservation,southern Illinois till plain,Clay,50 plants sampled,200,1,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,0.25,dark,11-Aug-20,CORYDALIS,flavula,2019,
Nothoscordum bivalve,LILIACEAE,NOBI2,30-May-19,CBG-10540,10540,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Litchfield reservoir, roadside slope, Rte 16.","39°10' 34.05"" N","89°37' 00.11"" W",39.17612,-89.61669,GPS,WGS84,650,FT,City of Litchfield,Danthonia spicata:Poa pratensis:Penstemon pallidus:Liatris aspera:Rubus flagellaris:Claytonia virginica:Tradescantia virginiana:Quercus sp.:Carya sp.,Mowed,upland,,,woodland edge,,southern Illinois till plain,Clay,50 plants sampled,200,0.5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,1,light gray,11-Aug-20,NOTHOSCORDUM,bivalve,2019,
Agastache nepetoides,LAMIACEAE,AGNE2,10-Oct-19,CBG-10542,10542,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Widespread along Shoal Creek below the dam where it makes a huge loop.,"39°11' 00.50"" N","89°36' 13.50"" W",39.18347,-89.60375,GPS,WGS84,556,FT,City of Litchfield,Leersia virginica:Tradescantia subaspera:Thalictrum sp.:Phlox paniculata:Stellaria longifolia:Eupatorium serotinum:Eupatorium purpureum:Eutrochium purpureum:Laportea canadensis:Cirsium altissimum:Hydrophyllum canadense:Smilax sp.:Dichanthelium boscii:Geum canadense,,plain,0,,floodplain,conservation,southern Illinois till plain,Clay,60 plants sampled,60,5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,6,light gray,11-Aug-20,AGASTACHE,nepetoides,2019,
Hydrangea arborescens,HYDRANGEACEAE,HYAR,10-Sep-19,CBG-10546,10546,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Steep north-facing slope at RH inlet and intermittent stream.,"39°12' 06.20"" N","89°35' 47.32"" W",39.20172,-89.59647,GPS,WGS84,610,FT,City of Litchfield,Ruellia strepens:Rudbeckia triloba:Rudbeckia laciniata:Verbesina alternifolia:Sanicula sp.:Dichanthelium boscii:Dichanthelium latifolium:Eupatorium serotinum:Eutrochium purpureum:Gillenia stipulata:Symphyotrichum simplex:Symphyotrichum urophyllum:Symphyotrichum anomalum:Symphyotrichum turbinellum:Quercus alba:Quercus velutina:Carya sp.:Sassafras albidum:Rubus sp.,,steep north-facing slope,50,N,,conservation,southern Illinois till plain,Clay,60 plants sampled,60,0.5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,3,light gray,11-Aug-20,HYDRANGEA,arborescens,2019,
Dasistoma macrophylla,SCROPHULARIACEAE,DAMA,4-Oct-19,CBG-10548,10548,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Old field north of preserve signs and parking, mostly along #2 loop of nature trail.","39°11' 12.75"" N","89°35' 42.34"" W",39.18687,-89.59509,GPS,WGS84,650,FT,City of Litchfield,Sorghastrum nutans:Lonicera japonica:Rubus sp.:Pedicularis canadensis:Rudbeckia subtomentosa:Quercus macrocarpa:Quercus velutina:Quercus imbricaria:Quercus palustris:Melica nitens:Solidago graminifolia:Solidago canadensis:Solidago nemoralis:Tradescantia ohiensis:Tradescantia virginiana:Carex sp.:Muhlenbergia sp.,,plain,0,,old field,conservation,southern Illinois till plain,Clay,15 plants sampled,15,5,P,Plant numbers estimated. Few this year; abundant other years in numerous locations.,,H. Eilers,2,,,,,,,WEB,5,light gray,11-Aug-20,DASISTOMA,macrophylla,2019,
Liatris pycnostachya,ASTERACEAE,LIPY,15-Oct-19,CBG-10549,10549,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,South side of Yaeger Lake Trail before W. Park Rd.,"39°11' 10.55"" N","89°36' 40.12"" W",39.18626,-89.61114,GPS,WGS84,660,FT,City of Litchfield,Schizachyrium scoparium:Desmodium ciliare:Desmodium sessilifolium:Hypericum prolificum:Hypericum sphaerocarpum:Hypericum gentianoides:Hypericum sp.:Lespedeza virginica:Linum sulcatum:Liatris aspera:Hieracium scabrum:Hieracium longipilum:Monarda bradburiana:Symphyotrichum turbinellum:Lechea tenuifolia:Polygala sanguinea:Polygala verticillata:Corylus americana:Quercus alba:Quercus stellata:Quercus imbricaria:Quercus velutina:Quercus muehlenbergii:Sassafras albidum:Sabatia angularis:Carya sp.,utility corridor recently cleared,ridge,,,woodland,Ameren utility corridor,southern Illinois till plain,Clay,60 plants sampled,60,0.25,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,3,light gray,11-Aug-20,LIATRIS,pycnostachya,2019,
Symphyotrichum patens,COMPOSITAE,SYPA11,7-Oct-19,CBG-10550,10550,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Rocky Hollow Barrens at end of old Rocky Hollow Lane.,"39°12' 06.95"" N","89°35' 44.76"" W",39.20193,-89.59576,GPS,WGS84,610,FT,,Symphyotrichum anomalum:Symphyotrichum turbinellum:Verbesina helianthoides:Desmodium paniculatum:Desmodium glutinosum:Stylosanthes biflora:Aureolaria grandiflora:Spiranthes tuberosa:Amelanchier arborea:Ostrya virginiana:Quercus stellata:Quercus marilandica:Quercus velutina:Quercus alba:Schizachyrium scoparium:Andropogon gerardii:Cunila origanoides:Gillenia stipulata,Burned,slope,30,SW,woodland slopes,conservation,southern Illinois till plain,Clay,50 plants sampled,110,5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,2.5,light gray,11-Aug-20,SYMPHYOTRICHUM,patens,2019,
Liatris aspera,ASTERACEAE,LIAS,10-Oct-19,CBG-10551,10551,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"East Rte. 16, east edge of Litchfield, before turnoff to Old Litchfield Lake.","39°10' 34.47"" N","89°36' 59.24"" W",39.17624,-89.61645,GPS,WGS84,655,FT,City of Litchfield,Schizachyrium scoparium:Andropogon virginicus:Andropogon gerardii:Tridens flavus:Aristida oligantha:Danthonia spicata:Solidago nemoralis:Aster turbinellus:Lechea tenuifolia:Corylus americana:Quercus alba:Quercus stellata:Quercus velutina:Carya sp.:Helianthus divaricatus:Lonicera maackii:Lonicera japonica,,roadway berm,,,woodland,recreation,southern Illinois till plain,Clay,50 plants sampled,200,0.5,P,,,H. Eilers,2,,,,,,,WEB,3,light gray,11-Aug-20,LIATRIS,aspera,2019,
Agrostis perennans,POACEAE,AGPE,16-Oct-19,CBG-10552,10552,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Flatwoods in north part of SCCA.,"39°11' 58.14"" N","89°35' 43.47"" W",39.19948,-89.5954,,WGS84,660,FT,City of Litchfield,Quercus palustris:Quercus velutina:Quercus stellata:Quercus imbricaria:Quercus marilandica:Carya sp.:Rhus copallina var. latifolia:Krigia biflora:Cinna arundinacea:Eleocharis tenuis var. verrucosa:Trifolium reflexum:Desmodium sp.:Hypericum mutilum:Asclepias purpurascens:Eupatorium sessilifolium,,plain,0,,woodland,conservation,southern Illinois till plain,Clay,60 plants sampled,200,2,P,Collection date assumption. Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,2,light gray,11-Aug-20,AGROSTIS,perennans,2019,
Aureolaria grandiflora,SCROPHULARIACEAE,AUGR,14-Oct-19,CBG-10554,10554,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Rocky Hollow Barrens at end of Old Rocky Hollow Lane.,"39°12' 06.95"" N","89°35' 44.76"" W",39.20193,-89.59576,GPS,WGS84,610,FT,City of Litchfield,Symphyotrichum anomalum:Symphyotrichum turbinellum:Verbesina helianthoides:Desmodium paniculatum:Desmodium glutinosum:Stylosanthes biflora:Aureolaria grandiflora:Spiranthes tuberosa:Amelanchier arborea:Ostrya virginiana:Quercus stellata:Quercus marilandica:Quercus velutina:Quercus alba:Schizachyrium scoparium:Andropogon gerardii:Cunila origanoides:Gillenia stipulata,Burned,slope,18,SW,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,200,2,,,,H. Eilers,2,,,,,,,WEB,3.5,light gray,11-Aug-20,AUREOLARIA,grandiflora,2019,
Anemone virginiana,RANUNCULACEAE,ANVI3,6-Sep-19,CBG-10556,10556,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,SCCA; Rocky Hollow Barrens at end of Rocky Hollow Lane.,,,.,.,GPS,WGS84,600,FT,city of Litchfield,Symphyotrichum anomalum:Symphyotrichum turbinellum:Verbesina helianthoides:Desmodium paniculatum:Desmodium glutinosum:Stylosanthes biflora:Aureolaria grandiflora:Spiranthes tuberosa:Amelanchier arborea:Ostrya virginiana:Quercus stellata:Quercus marilandica:Quercus velutina:Quercus alba:Schizachyrium scoparium:Andropogon gerardii:Cunila origanoides:Gillenia stipulata,,slope,20,SW,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,5,P,GPS coordinates incomplete.,,H. Eilers,2,,,,,,,WEB,3,light gray,11-Aug-20,ANEMONE,virginiana,2019,
Boehmeria cylindrica,URTICACEAE,BOCY,20-Oct-19,CBG-10557,10557,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,SCCA; woodland south of Yaeger Lake Trail.,"39°11' 07.73"" N","89°35' 45.86"" W",39.18548,-89.59607,GPS,WGS84,660,FT,city of Litchfield,Sassafras albidum:Ulmus americana:Acer negundo:Campsis radicans:Scutellaria incana:Elymus virginicus:Carex sp.,,plain,0,,mesic woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,200,1,P,,,H. Eilers,2,,,,,,,WEB,2,light gray,11-Aug-20,BOEHMERIA,cylindrica,2019,
Brachyelytrum erectum,POACEAE,BRER2,29-Aug-19,CBG-10559,10559,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,SCCA; off Chandler corner.,"39°11' 33.76"" N","89°35' 33.40"" W",39.19271,-89.59261,GPS,WGS84,640,FT,city of Litchfield,Quercus alba:Quercus velutina:Quercus muehlenbergii:Morus rubra:Ostrya virginiana:Sassafras albidum:Polygonatum sp.:Uvularia grandiflora:Claytonia virginica:Dicentra:Carex sp.:Gillenia stipulata:Cunila origanoides:Symphyotrichum anomalum:Symphyotrichum turbinellum:Frasera caroliniensis,,slope,20,NE,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,2,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,2,light gray,12-Aug-20,BRACHYELYTRUM,erectum,2019,
Cinna arundinacea,POACEAE,CIAR2,20-Oct-19,CBG-10560,10560,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, north flatwoods.","39°11' 59.40"" N","89°35' 43.52"" W",39.19983,-89.59542,GPS,WGS84,660,FT,city of Litchfield,Quercus marilandica:Quercus velutina:Quercus alba:Quercus stellata:Quercus palustris:Quercus imbricaria:Carya sp.:Eleocharis tenuis var. verrucosa:Trifolium reflexum:Paronychia:Rhus copallinum:Rhus glabra:Agrostis perennans:Carex sp.:Hypericum mutilum:Callitriche terrestris:Hedeoma pulegioides:Liatris pycnostachya:Symphyotrichum turbinellum,lane and waterlines,plain,0,,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,2,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,4,light gray,12-Aug-20,CINNA,arundinacea,2019,
Cephalanthus occidentalis,RUBIACEAE,CEOC2,26-Sep-19,CBG-10561,10561,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"S. Litchfield Ts, drainage between BNSF RRand old Rte. 66 pavement.","39°06' 53.07"" N","89°41' 22.43"" W",39.11474,-89.68956,GPS,WGS84,680,FT,"IDOT, BNSF RR",Leersia oryzoides:Carex sp.:Populus deltoides:Morus alba:Polygonum amphibium var. emersum,,plain,0,,wet prairie,drainage,southern Illinois till plain,Clay,50 plants sampled,110,0.5,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,6.5,light gray,12-Aug-20,CEPHALANTHUS,occidentalis,2019,
Cirsium altissimum,ASTERACEAE,CIAL2,25-Sep-19,CBG-10563,10563,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, near trail head of nature trail.","39°11' 10.90"" N","89°35' 51.54"" W",39.18636,-89.59765,GPS,WGS84,650,FT,city of Litchfield,Quercus alba:Quercus velutina:Quercus stellata:Quercus marilandica:Quercus palustris:Carya sp.:Sassafras albidum:Rhus glabra:Hypericum prolificum:Tradescantia virginiana:Tradescantia ohiensis:Scutellaria incana:Solidago speciosa:Solidago ulmifolia:Solidago nemoralis,,slope,20,,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,2,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,5,light gray,12-Aug-20,CIRSIUM,altissimum,2019,
Desmodium ciliare,FABACEAE,DECI,22-Sep-19,CBG-10565,10565,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, steep slopes of N barrens complex.","39°12' 09.02"" N","89°35' 52.19"" W",39.2025,-89.59783,GPS,WGS84,600,FT,city of Litchfield,Quercus alba:Quercus velutina:Quercus stellata:Quercus marilandica:Carya sp.:Amelanchier arborea:Ostrya virginiana:Aureolaria grandiflora:Verbesina helianthoides:Asclepias tuberosa:Asclepias purpurascens:Carex sp.:Desmodium sp.,,slope,20,SW,"woodlan, barrens",conservation,southern illinois till plain,Clay,50 plants sampled,60,,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,4,light gray,12-Aug-20,DESMODIUM,ciliare,2019,
Desmodium paniculatum,FABACEAE,DEPA6,15-Sep-19,CBG-10566,10566,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, near nature trail.","39°11' 11.76"" N","89°35' 42.69"" W",39.1866,-89.59519,GPS,WGS84,650,FT,city of Litchfield,Quercus alba:Quercus velutina:Quercus stellata:Quercus marilandica:Quercus palustris:Carya sp.:Sassafras albidum:Rhus glabra:Hypericum prolificum:Tradescantia virginiana:Tradescantia ohiensis:Scutellaria incana:Solidago speciosa:Solidago ulmifolia:Solidago nemoralis,,slope,10,,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,2,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,3.5,light gray,12-Aug-20,DESMODIUM,paniculatum,2019,
Desmodium nudiflorum,FABACEAE,DENU4,12-Sep-19,CBG-10569,10569,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, S barrens complex.","39°11' 40.75"" N","89°35' 38.09"" W",39.19465,-89.59391,GPS,WGS84,600,FT,city of Litchfield,Carex sp.:Desmodium sp.:Gillenia stipulata:Aureolaria grandiflora:Hypoxis hirsuta:Dodecatheon meadia:Stylosanthes biflora:Danthonia spicata:Schizachyrium scoparium:Ostrya virginiana:Amelanchier arborea:Quercus alba:Quercus muehlenbergii:Quercus velutina:Quercus stellata,,plain,0,,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,5,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,2.5,light gray,12-Aug-20,DESMODIUM,nudiflorum,2019,
Dichanthelium latifolium,POACEAE,DILA8,18-Jun-19,CBG-10570,10570,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, slopes N or Rocky Hollow Lane.","39°12' 04.33"" N","89°35' 43.61"" W",39.2012,-89.59544,GPS,WGS84,620,FT,city of Litchfield,Quercus alba:Quercus velutina:Cercis canadensis:Ostrya virginiana:Amelanchier arborea:Rubus allegheniensis:Gillenia stipulata:Claytonia virginica:Dicentra cucullaria:Uniola paniculata:Phlox divaricata,,slope,15,N,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,110,,P,Plant numbers sampled estimated.,,H. Eilers,1,,,,,,,WEB,2.5,light gray,12-Aug-20,DICHANTHELIUM,latifolium,2019,
Conoclinium coelestinum,ASTERACEAE,COCO13,3-Nov-19,CBG-10571,10571,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, floodplain below dam.","39°11' 02.13"" N","89°36' 16.03"" W",39.18392,-89.60445,GPS,WGS84,560,FT,city of Litchfield,Quercus macrocarpa:Quercus velutina:Quercus imbricaria:Acer negundo:Populus x canadensis:Carya sp.:Cercis canadensis:Rudbeckia laciniata:Rudbeckia triloba:Dichanthelium boscii:Diarrhena americana:Tradescantia subaspera:Phlox paniculata:Polemonium reptans:Monarda clinopodia:Floerkea proserpinacoides:Hydrophyllum canadense:Hydrophyllum appendiculatum,,plain,0,,forest,conservation,southern Illinois till plain,Clay,50 plants sampled,110,,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,2,light gray,12-Aug-20,CONOCLINIUM,coelestinum,2019,
Eupatorium perfoliatum,ASTERACEAE,EUPE3,9-Oct-19,CBG-10572,10572,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Lithchfield Rte 66 Prairie,"39°13' 56.49"" N","89°38' 26.45"" W",39.23235,-89.64068,GPS,WGS84,650,FT,IDOT,Spartina pectinata:Bolboschoenus fluviatilis:Scirpus pendulus:Scirpus atrovirens:Carex bushii:Carex grayi:Carex pellita:Calamus:Salix interior:Cephalanthus occidentalis:Leersia oryzoides:Eupatorium altissimum:Helenium flexuosum:Senna marilandica:Melilotus alba:Schedonorus pratensis:Amsonia tabernaemontana,drainage work,plain,0,,prairie,conservation,southern Illinois till plain,Clay,50 plants sampled,100,2,P,,,H. Eilers,1,,,,,,,WEB,3,light gray,12-Aug-20,EUPATORIUM,perfoliatum,2019,
Eupatorium sessilifolium,ASTERACEAE,EUSE3,10-Oct-19,CBG-10573,10573,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, flatwoods.","39°11' 59.62"" N","89°35' 45.86"" W",39.19989,-89.59607,GPS,WGS84,665,FT,city of Litchfield,Quercus marilandica:Quercus velutina:Quercus alba:Quercus stellata:Quercus palustris:Quercus imbricaria:Carya sp.:Sassafras albidum:Cornus florida:Rhus copallinum:Rhus glabra:Agrostis perennans:Carex sp.:Eleocharis tenuis var. verrucosa:Trifolium reflexum:Paronychia:Hypericum mutilum:Callitriche terrestris:Hedeoma pulegioides:Liatris pycnostachya:Krigia biflora,,plain,0,,woodland,conservation,southern Illinois till plain,Clay,15 plants sampled,15,2,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,3.5,light gray,12-Aug-20,EUPATORIUM,sessilifolium,2019,
Euthamia gymnospermoides,ASTERACEAE,EUGY,26-Sep-19,CBG-10574,10574,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,,"39°06' 53.64"" N","89°41' 23.06"" W",39.1149,-89.68973,GPS,WGS84,680,FT,"IDOT, BNSF RR",Populus x canadensis:Acer saccharum var. schneckii:Acer saccharinum:Fraxinus pennsylvanica:Rubus sp.:Carex pellita:Polygonum sp.:Dipsacus laciniatus:Asclepias verticillata:Asclepias hirtella:Solidago altissima,,plain,,,prairie,drainage,southern Illinois till plain,Clay,50 plants sampled,110,,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,3.5,light gray,12-Aug-20,EUTHAMIA,gymnospermoides,2019,
Euthamia graminifolia,ASTERACEAE,EUGR5,25-Sep-19,CBG-10575,10575,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, N oldfields.","39°11' 14.28"" N","89°35' 45.15"" W",39.1873,-89.59587,GPS,WGS84,645,FT,city of Litchfield,Quercus palustris:Quercus velutina:Sassafras albidum:Rubus sp.:Rhus glabra:Vitis sp.:Rosa setigera:Dasistoma macrophylla:Tradescantia ohiensis:Carex swanii:Muhlenbergia sobolifera:Melica nitens:Melanthium virginicum:Podophyllum peltatum:Pedicularis canadensis:Liparis liliifolia,,,,,successional old fields,conservation,southern Illinois till plain,Clay,15 plants sampled,15,2,P,Plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,4.5,light gray,12-Aug-20,EUTHAMIA,graminifolia,2019,
Gillenia stipulata,ROSACEAE,GIST5,29-Aug-19,CBG-10576,10576,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"SCCA, S barrens complex.","39°11' 40.52"" N","89°35' 36.26"" W",39.19458,-89.5934,GPS,WGS84,640,FT,city of Litchfield,Carex sp.:Desmodium sp.:Gillenia stipulata:Aureolaria grandiflora:Hypoxis hirsuta:Dodecatheon meadia:Stylosanthes biflora:Danthonia spicata:Schizachyrium scoparium:Ostrya virginiana:Amelanchier arborea:Quercus alba:Quercus muehlenbergii:Quercus velutina:Quercus stellata,,slope,10,SW,"woodlands, barrens",conservation,southern Illinois till plain,Clay,50 plants sampled,110,4,P,plant numbers sampled estimated.,,H. Eilers,2,,,,,,,WEB,3,light gray,12-Aug-20,GILLENIA,stipulata,2019,
Galium triflorum,RUBIACEAE,GATR3,8-Aug-19,CBG-10577,10577,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"south side of Yaeger Lake trail, across from Sharps Lane","39°11' 9.49"" N","89°36' 44.84"" W",39.18596,-89.61245,GPS,WGS84,680,FT,city. of Litchfield,Quercus alba:Quercus velutina:Carya sp.:Sassafras albidum:Salix humilis:Hypericum prolificum:Corylus americana:Elaeagnus umbellata:Lonicera maackii:Rosa multiflora:Lespedeza cuneata:Polygala verticillata:Sabatia angularis:Lobelia inflata:Carex sp.:Liatris pycnostachya:Liatris aspera:Schizachyrium scoparium,recently cleared of brush,plain,,,woodland,utility corridor,southern Illinois till plain,Clay,50 plants sampled,110,0.5,P,,,H. Eilers,2,,,,,,,WEB,2.572,light gray,10-Apr-20,GALIUM,triflorum,2019,
