GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
3,1,Juncus,effusus,NEWFS-667,0.13,0.13,0.64,0.77,0.00,0.23,0.0034,0.0872,204.47,5.94,5.97,195.52,5.96,225684,6556,6589,215805.7395,6578.366446,
3,1,Juncus,effusus,NEWFS-695,0.69,0.69,0.15,0.84,0.00,0.16,0.0031,0.0681,125.93,5.42,5.46,103.77,5.46,176868,7612,7669,145744.382,7668.539326,
3,1,Juncus,effusus,NEWFS-699,0.47,0.47,0.33,0.80,0.00,0.20,0.0027,0.0487,259.05,3.05,3.03,244.17,3.04,503988,5934,5895,475038.9105,5914.396887,
3,1,Juncus,effusus,NEWFS-702,0.23,0.23,0.70,0.93,0.00,0.07,0.0023,0.0831,36.11,2.86,2.87,28.15,2.88,42283,3349,3361,32962.52927,3372.36534,
2,1,Juncus,gerardii,NEWFS-327,1.00,1.00,0.00,1.00,0.00,0.00,0.0025,0.0624,223.79,6.59,6.59,182.27,6.59,344823,10154,10154,280847.4576,10154.0832,
2,1,Juncus,gerardii,NEWFS-343,0.85,0.85,0.04,0.89,0.00,0.11,0.0046,0.0387,51.56,3.43,3.48,41.54,3.43,119076,7921,8037,95935.33487,7921.47806,
2,1,Juncus,gerardii,NEWFS-638,1.00,1.00,0.00,1.00,0.00,0.00,0.0026,0.0756,283.31,2.79,2.8,286.96,2.81,362289,3568,3581,366956.5217,3593.350384,
3,1,Juncus,gerardii,NEWFS-639,1.00,1.00,0.00,1.00,0.00,0.00,0.0048,0.0498,523.31,3.92,3.94,461.11,3.98,958443,7179,7216,844523.8095,7289.377289,
3,1,Juncus,gerardii,NEWFS-645,0.92,0.92,0.01,0.93,0.00,0.07,0.0035,0.0556,317.42,3.91,3.93,297.7,3.98,537090,6616,6650,503722.5042,6734.348562,
3,1,Juncus,gerardii,NEWFS-649,1.00,1.00,0.00,1.00,0.00,0.00,0.0045,0.0704,573.01,6.16,6.19,511.48,6.18,765033,8224,8264,682883.8451,8251.001335,
3,1,Juncus,gerardii,NEWFS-668,1.00,1.00,0.00,1.00,0.00,0.00,0.0031,0.0891,705.41,4.07,4.06,756.31,4.13,765087,4414,4403,820292.8416,4479.392625,
3,none assigned,Juncus,gerardii,NEWFS-673,0.88,0.88,0.05,0.93,0.00,0.07,0.0033,0.0293,1597.1,22.45,22.56,1449.78,22.42,4899080,68865,69202,4447177.914,68773.00613,
2,1,Juncus,gerardii,NEWFS-804,0.79,0.79,0.19,0.98,0.00,0.02,0.028,0.0971,92.76,6.71,6.7,71.58,6.71,74149,5364,5356,57218.22542,5363.709033,
2,1,Juniperus,virginiana,NEWFS-739,0.00,0.00,0.89,0.89,0.00,0.11,0.8795,2.584,1034.75,115.76,115.82,687.73,115.44,29876,3342,3344,19856.50354,3333.044608,
1,1,Kalmia,angustifolia,NEWFS-846,0.17,0.17,0.00,0.17,0.00,0.83,0.006,0.8732,115.36,29.15,29.16,29.16,29.14,13121,3316,3317,3316.651501,3314.376706,
1,1,Kalmia,angustifolia,NEWFS-858,0.49,0.49,0.00,0.49,0.00,0.51,0.0048,0.5011,232.33,17.57,17.57,180.98,17.56,45924,3473,3473,35773.86835,3471.041708,
1,2,Kalmia,angustifolia,NEWFS-922,0.38,0.38,0.00,0.38,0.00,0.62,0.0037,0.9972,73.878,29.55,30.9,0,14.79,7381,2952,3087,0,1477.670097,
NA,1,Kalmia,angustifolia,NEWFS-938,0.57,0.57,0.00,0.57,0.00,0.43,0.0041,0.7,34.47,18.12,18.02,0,0,4896,2573,2559,0,0,
1,2,Kosteletzkya,virginica,NCBG-514,0.84,0.95,0.10,0.95,0.00,0.05,1.8315,0.0391,212.4,62.39,62.35,25.28,62.27,11355,3335,3333,1351.438041,3328.878435,
1,1,Leersia,oryzoides,NCBG-576,,,,0.00,1.00,0.00,0.2765,0.0057,62.7131,9.44,9.42,34.9,9.42,22223,3345,3338,12367.11552,3338.058115,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
NA,1,Lespedeza,capitata,NEWFS-754,0.06,0.99,0.87,0.99,0.00,0.01,0.214,1.2066,85.18,43.71,44.05,0,0,5996,3077,3101,0,0,
3,1,Lespedeza,capitata,NEWFS-821,0.02,0.71,0.64,0.71,0.00,0.29,0.3106,1.5102,430.41,30.64,60.8,251.35,60.57,23639,1683,3339,13804.3717,3326.559754,
3,1,Limonium,carolinianum,MARSB-415,0.09,0.09,0.00,0.09,0.91,0.00,0.0555,1.3029,667.61,52.43,51.79,504.7,54.38,49147,3860,3813,37154.00471,4003.239105,
1,2,Limonium,carolinianum,NEWFS-792,0.07,0.07,0.00,0.07,0.93,0.00,0.1328,1.1258,191.55,42.04,42.98,59.26,42.9,15219,3340,3415,4708.406166,3408.549182,
NA,2,Limonium,carolinianum,NEWFS-814,0.06,0.06,0.00,0.06,0.94,0.00,0.059,1.411,61.9,30.95,28.36,0,0,4211,2105,1929,0,0,
2,2,Limonium,carolinianum,NEWFS-913,0.08,0.08,0.00,0.08,0.92,0.00,0.0373,0.9872,194.015,33.45,34.34,81.24,34.13,18938,3265,3352,7929.721816,3331.381162,
2,1,Limonium,carolinianum,NEWFS-933,0.13,0.13,0.00,0.13,0.87,0.00,0.1483,1.1004,188.73,41.66,41.6,53.94,41.61,15114,3336,3331,4319.69248,3332.265556,
1,2,Lycopus,americanus,NEWFS-893,0.00,0.00,0.58,0.58,0.34,0.08,0.018,0.0371,14.9763,1.94,1.94,9.11,1.92,27180,3521,3521,16533.57532,3484.573503,
NA,2,Mitchella,repens,NEWFS-927,0.01,0.01,0.71,0.72,0.00,0.28,0.2624,0.7623,4.3393,2.11,2.12,0,0,423,206,207,0,0,
1,2,Myrica,gale,NEWFS-886,0.53,0.53,0.17,0.70,0.04,0.26,0.2624,0.6828,178.86,31.55,31.64,85.08,31.49,18923,3338,3347,9001.269573,3331.570038,
1,2,Panicum,amarum,NCBG-560,0.70,0.70,0.00,0.70,0.30,0.00,0.2145,0.1997,116.09,10.43,10.61,84.97,10.45,28028,2518,2562,20514.24433,2522.93578,
1,2,Panicum,amarum,NCBG-732,0.38,0.38,0.00,0.38,0.63,0.00,0.111,0.1532,859.94,12.49,12.72,796.46,12.31,325488,4727,4815,301461.0144,4659.348978,
1,2,Panicum,virgatum,NCBG-529,0.12,0.12,0.00,0.12,0.88,0.00,0.0606,0.1471,29.03,3.59,3.54,16.64,3.59,13977,1728,1704,8011.555128,1728.454502,
1,2,Panicum,virgatum,NCBG-530,0.12,0.12,0.00,0.12,0.88,0.00,0.0726,0.1311,46.42,3.49,3.5,37.82,3.43,22788,1713,1718,18566.51939,1683.848797,
1,2,Panicum,virgatum,NCBG-596,0.11,0.11,0.00,0.11,0.89,0.00,0.0672,0.1872,73.02,3.85,3.8,59.65,3.86,28703,1513,1494,23447.32704,1517.295597,
1,2,Panicum,virgatum,NEWFS-798,0.25,0.25,0.00,0.25,0.75,0.00,0.1028,0.1097,85.57,7.71,7.75,64.18,7.78,40268,3628,3647,30202.35294,3661.176471,
1,2,Panicum,virgatum,NEWFS-857,0.26,0.26,0.00,0.26,0.74,0.00,0.01028,0.2003,64.68,10.11,10.09,36.04,10.16,30715,4801,4792,17114.63577,4824.769684,
1,2,Panicum,virgatum,NEWFS-906,0.36,0.36,0.00,0.36,0.63,0.01,0.1141,0.1671,56.926,9.41,9.34,29.02,9.43,20244,3346,3321,10320.0569,3353.485064,
1,2,Panicum,virgatum,NEWFS-930,0.18,0.18,0.00,0.18,0.82,0.00,0.0963,0.1763,51.89,9.16,9.15,25.64,9.1,19035,3360,3357,9405.722671,3338.224505,
NA,NA,Parthenocissus,quinquefolia,NEWFS-482,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
1,2,Paspalum,boscianum,NCBG-591,0.31,0.31,0.00,0.31,0.69,0.00,0.4316,0.3172,213.84,24.98,24.78,130.64,24.98,28558,3336,3309,17446.5812,3336.004274,
NA,NA,Peltandra,virginica,NEWFS-721,,,,,,,N/A,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Sample on packing list but not included in shipment
1,2,Persecaria,sagittata,NEWFS-710,0.00,0.00,0.34,0.34,0.27,0.39,0.2697,0.1669,65.58,14.58,14.58,22.85,14.55,15021,3339,3339,5233.623454,3332.569858,
1,2,Persecaria,sagittata,NEWFS-720,0.00,0.00,0.41,0.41,0.17,0.42,0.3242,0.1469,77.97,15.83,15.8,33.18,15.61,16551,3360,3354,7043.090639,3313.521545,
1,1,Persecaria,sagittata,NEWFS-728,0.00,0.00,0.67,0.67,0.00,0.33,0.3211,0.1232,50.26,14.78,14.92,7.25,14.76,11312,3327,3358,1631.780329,3322.079676,
1,2,Phytolacca,americana,NCBG-537,0.00,0.87,0.84,0.87,0.00,0.13,0.6595,0.0083,49.91,19.9917,19.5087,0,9.8636,7474,2994,2921,0,1477.029051,
1,2,Phytolacca,americana,NCBG-539,0.02,0.85,0.83,0.85,0.00,0.15,0.6774,0.0054,120.44,22.76,22.76,51.7,22.77,17639,3333,3333,7571.763327,3334.797891,
2 (2),1 (2),Pinus,rigida,MARSB-446,0.44,0.44,0.15,0.59,0.28,0.13,0.7598,16.47,3595.06,574.45,575.28,1929.33,575.16,20865,3334,3339,11197.63433,3338.169915,
1,2,Pinus,serotina,NCBG-424,0.36,0.36,0.06,0.42,0.05,0.53,0.8189,0.0107,140.42,27.76,27.59,57.67,27.8,16926,3346,3326,6951.542912,3351.012536,
2,2,Piptochaetium,avenaceum,NCBG-703,0.05,0.05,0.20,0.25,0.50,0.25,0.5307,0.0371,47.83,14.8,14.47,0,14.23,8424,2607,2548,0,2506.164142,
1,2,Pityopsis,falcata,MARSB-357,0.00,0.00,0.31,0.31,0.64,0.05,0.0346,0.1083,145.28,10.48,10.44,122.55,10.48,101666,7334,7306,85759.27222,7333.79986,
1,2,Pluchea,odorata,MARSB-606,0.23,0.23,0.08,0.31,0.14,0.55,0.0137,0.0731,22.23,2.88,2.9,12.7,2.88,25611,3318,3341,14631.33641,3317.97235,
1,2,Pluchea,odorata,NCBG-563,0.12,0.12,0.03,0.15,0.42,0.43,0.0171,0.0787,18.6,3.57,3.6,8.55,3.44,19415,3727,3758,8924.843424,3590.814196,
1,1,Pluchea,odorata,NEWFS-794,0.11,0.11,0.06,0.17,0.09,0.74,0.0149,0.0552,155.64,7.39,7.35,132.6,7.35,222026,10542,10485,189158.3452,10485.0214,
1,2,Pluchea,odorata,NEWFS-894,0.20,0.20,0.01,0.21,0.15,0.64,0.0222,0.0635,35,3.05,3.11,27.07,3.06,40840,3559,3629,31586.93116,3570.595099,
1,2,Pluchea,odorata,NEWFS-929,0.46,0.46,0.01,0.47,0.43,0.10,0.0203,0.0686,48.53,3.57,3.66,38.31,3.52,54589,4016,4117,43093.36333,3959.505062,
NA,1,Prunus,serotina,NEWFS-352,,,,0.00,,1.00,16.16,0.0249,1042.58,514.11,514.09,0,0,6442,3176,3176,0,0,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Pseudognaphalium,obtusifolium,NEWFS-898,,,,0.00,,1.00,0.0012,0.15,38.09,5.2,5.14,24.32,5.13,25192,3439,3399,16084.65608,3392.857143,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Pseudognaphalium,obtusifolium,NEWFS-928,,,,0.00,,1.00,0.0019,0.2,25.66,6.78,6.75,6.56,6.78,12709,3358,3343,3249.133234,3358.098068,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
1,1,Pycnanthemum,muticum,NEWFS-753,0.33,0.33,0.00,0.33,0.67,0.00,0.0069,0.0447,110.84,10.01,10,82.18,9.99,214806,19399,19380,159263.5659,19360.46512,
2,2,Rhus,copallinum,NEWFS-908,0.01,0.01,0.77,0.78,0.00,0.22,1.3389,1.519,403.34,95.72,95.92,116.91,95.19,14113,3349,3356,4090.765947,3330.767347,
1,2,Rhus,hirta,NEWFS-165,0.13,0.13,0.79,0.92,0.00,0.08,0.816,0.0178,1176.9286,33.1193,33.1105,1075.25,33.1169,141152,3972,3971,128957.7836,3971.80379,
1,2,Rhus,hirta,NEWFS-464,0.20,0.20,0.68,0.88,0.00,0.12,0.7478,0.0121,492.813,28.9608,28.9671,406.06,28.9115,64852,3811,3812,53435.97842,3804.645348,
1,2,Rhus,hirta,NEWFS-779,0.35,0.35,0.50,0.85,0.00,0.15,0.9583,0.0209,917.8918,32.6468,32.6563,820.15,32.6672,93739,3334,3335,83757.14869,3336.111111,
2,2,Rhus,typhina,NEWFS-935,0.20,0.20,0.73,0.93,0.00,0.07,1.3807,0.972,1055.64,79.46,78.95,828.59,79.13,44869,3377,3356,35218.68492,3363.369745,
1,2,Rhynchospora,alba,NEWFS-717,0.43,0.43,0.34,0.77,0.00,0.23,0.0557,0.02211,25.03,8.49,8.52,0,8.5,32168,10911,10950,0,10924.04575,
1,1,Rhynchospora,alba or capitellata,NEWFS-725,0.74,0.74,0.12,0.86,0.02,0.12,0.0259,0.2731,69.95,10.13,10.29,35.85,10.22,23395,3388,3441,11989.96656,3418.060201,
1,1,Rhynchospora,capitellata,MARSB-486,0.02,0.02,0.29,0.31,0.00,0.69,0.0243,0.1782,80.84,12.62,12.66,43.98,12.6,39921,6232,6252,21718.51852,6222.222222,
1,1,Rhynchospora,capitellata,NCBG-528,0.05,0.05,0.33,0.38,0.00,0.62,0.0246,0.1901,30.39,7.16,7.14,6.12,7.14,14155,3335,3326,2850.489054,3325.570564,
2,1,Saccharum,giganteum,NCBG-754,0.01,0.07,0.92,0.99,0.00,0.01,0.083,0.0474,283.54,6.45,6.45,257.83,6.5,217439,4946,4946,197722.3926,4984.662577,
1,2,Salicornia,depressa,NEWFS-811,0.38,0.43,0.30,0.73,0.00,0.27,0.0551,0.0924,35.92,5,5.02,20.54,5.03,24353,3390,3403,13925.42373,3410.169492,
1,2,Salicornia,depressa,NEWFS-870,0.23,0.31,0.04,0.34,0.00,0.66,0.072,0.1355,24.17,6.92,6.97,3.54,6.94,11648,3335,3359,1706.024096,3344.578313,
2,1,Salvia,lyrata,NCBG-707,0.49,0.56,0.00,0.56,0.44,0.00,0.1483,0.1421,69.54,19.7,19.72,14.89,19.73,23946,6784,6791,5127.410468,6794.077135,
none assigned,1,Schizachyrium,littorale,NCBG-664,0.25,0.25,0.26,0.51,0.48,0.01,0.1681,0.0988,338.65,8.89,8.89,279.36,8.87,126883,3331,3331,104668.4151,3323.342076,
3,1,Schizachyrium,scorparium,NCBG-347,0.10,0.10,0.00,0.10,0.90,0.00,0.1249,0.0917,44.82,7.2,7.23,23.97,7.21,20693,3324,3338,11066.48199,3328.716528,
3,1,Schizachyrium,scorparium,NCBG-580,0.04,0.04,0.00,0.04,0.96,0.00,0.1098,0.0841,89.88,6.49,6.46,67.53,6.44,46354,3347,3332,34827.23053,3321.299639,
3,1,Schizachyrium,scorparium,NCBG-597,0.12,0.12,0.11,0.23,0.70,0.07,0.1854,0.0825,489.12,19.55,23.53,399.77,24.73,182576,7297,8783,149223.5909,9231.056364,
3,1,Schizachyrium,scorparium,NEWFS-445,0.54,0.65,0.08,0.73,0.00,0.27,0.0976,0.1027,83.65,6.69,6.87,65.3,6.73,41762,3340,3430,32601.09835,3359.96006,
3,none assigned,Schizachyrium,scorparium,NEWFS-755,0.03,0.03,0.11,0.14,0.85,0.01,0.1179,0.0999,174.02,7.37,7.39,139.58,7.38,79899,3384,3393,64086.31772,3388.429752,
3,1,Schizachyrium,scorparium,NEWFS-800,0.05,0.05,0.00,0.05,0.95,0.00,0.0786,0.0317,88.09,4.53,4.55,75.35,4.59,79864,4107,4125,68313.68994,4161.37806,
3,1,Schizachyrium,scorparium,NEWFS-820,0.35,0.45,0.17,0.63,0.00,0.37,0.0893,0.0828,428.19,5.73,5.72,408.13,5.73,248803,3329,3324,237147.0076,3329.459617,
3,1,Schizachyrium,scorparium,NEWFS-853,0.04,0.04,0.20,0.24,0.72,0.04,0.1028,0.0732,80.94,9.4,9.4,53.75,9.3,45989,5341,5341,30539.77273,5284.090909,
3,1,Schizachyrium,scorparium,NEWFS-865,0.06,0.06,0.18,0.24,0.76,0.00,0.0986,0.0667,35.82,5.52,5.52,18.92,5.5,21670,3339,3339,11445.85602,3327.283727,
1,2,Schoenoplectus,americanus,NCBG-723,0.02,0.02,0.29,0.31,0.29,0.40,0.122,0.0517,27.8,5.79,5.83,10.3,5.64,16005,3333,3356,5929.763961,3246.977547,
1,2,Schoenoplectus,americanus,NEWFS-644,0.00,0.01,0.43,0.44,0.23,0.33,0.1788,0.0322,22.15,7.09,7.06,0.96,7.07,10498,3360,3346,454.9763033,3350.7109,
1,2,Schoenoplectus,americanus,NEWFS-646,0.00,0.00,0.81,0.81,0.03,0.16,0.2433,0.0711,87.37,10.54,10.53,56.05,10.53,27789,3352,3349,17827.60814,3349.236641,
1,2,Schoenoplectus,americanus,NEWFS-675,0.02,0.02,0.27,0.29,0.32,0.38,0.1531,0.0217,81.49,5.87,5.84,63.17,5.9,46619,3358,3341,36138.44394,3375.286041,
NA,2,Schoenoplectus,americanus,NEWFS-733,0.02,0.02,0.61,0.63,0.03,0.34,0.2291,0.0628,16.8,8.43,8.39,0,0,5755,2888,2874,0,0,
NA,2,Schoenoplectus,americanus,NEWFS-760,0.05,0.05,0.60,0.65,0.13,0.22,0.2208,0.0398,10.15,5.06,4.99,0,0,3895,1942,1915,0,0,
1,1,Schoenoplectus,tabernaemontani,NEWFS-691,0.01,0.01,0.84,0.85,0.00,0.15,0.00816,0.0447,333.74,7,7.11,294.65,7.09,631366,13243,13451,557415.8154,13412.7885,
2,1,Scirpus,atrovirens,NEWFS-336,0.00,0.00,0.15,0.15,0.14,0.71,0.01,0.0755,19.88,2.84,2.88,10.03,2.9,23251,3322,3368,11730.99415,3391.812865,
1,2,Scirpus,atrovirens,NEWFS-729,0.00,0.00,0.42,0.42,0.21,0.37,0.016,0.0691,44.03,3.53,3.61,29.71,3.58,51739,4148,4242,34911.86839,4206.815511,
2,1,Scirpus,cyperinus,NEWFS-382,0.00,0.00,0.14,0.14,0.47,0.39,0.0207,0.0703,168.31,6.12,6.2,148.61,6.18,184956,6725,6813,163307.6923,6791.208791,
2,2,Scirpus,cyperinus,NEWFS-730,0.00,0.00,0.02,0.02,0.88,0.10,0.0207,0.0211,166.81,12.94,12.93,129.48,12.91,399067,30957,30933,309760.7656,30885.16746,
1,2,Scirpus,cyperinus,NEWFS-746,0.00,0.00,0.03,0.03,0.91,0.06,0.0148,0.0414,515.63,19.48,19.52,455.7,19.52,917491,34662,34733,810854.0925,34733.09609,
1,2,Scirpus,cyperinus,NEWFS-785,0.00,0.00,0.01,0.01,0.92,0.07,0.0145,0.0376,243.71,9.49,9.51,215.69,9.45,467774,18215,18253,413992.3225,18138.19578,
1,2,Scirpus,cyperinus,NEWFS-803,0.00,0.00,0.21,0.21,0.68,0.11,0.0166,0.0568,72.76,2.5,2.53,65.96,2.49,99128,3406,3447,89863.76022,3392.370572,
NA,1,Smilax,glauca,NEWFS-934,,,,0.00,,1.00,3.6551,0.0793,190.06,91.59,91.52,0,0,5089,2453,2451,0,0,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
NA,1,Smilax,laurifolia,NCBG-334,0.00,0.00,0.27,0.27,0.00,0.73,4.7074,0.0207,126.14,65.38,61.81,0,0,2668,1383,1307,0,0,
NA,1,Smilax,rotundifolia,NCBG-380,0.00,0.00,0.38,0.38,0.00,0.62,3.7339,0.0302,103.53,51.03,53.63,0,0,2750,1356,1425,0,0,
NA,1,Smilax,rotundifolia,NEWFS-607,0.00,0.00,0.23,0.23,0.00,0.77,2.7492,2.146,214.26,102.7,102.69,0,0,4377,2098,2098,0,0,
2,1,Solidago,altissima,NEWFS-819,,,,0.00,,1.00,0.0161,0.0611,38.27,2.59,2.56,31.51,2.58,49573,3355,3316,40816.06218,3341.968912,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
2,1,Solidago,altissima,NEWFS-890,0.27,0.27,0.00,0.27,0.73,0.00,0.022,0.0842,40.62,3.55,3.57,31.17,3.55,38249,3343,3362,29350.28249,3342.749529,
3,1,Solidago,altissima,NEWFS-904,0.51,0.51,0.00,0.51,0.49,0.00,0.0124,0.0784,59.11,3.19,3.18,50.61,3.2,65099,3513,3502,55737.88546,3524.229075,
2,1,Solidago,caesia,NEWFS-850,0.47,0.47,0.00,0.47,0.53,0.00,0.0144,0.0601,13.12,2.48,2.5,6.56,2.49,17611,3329,3356,8805.369128,3342.281879,
3,1,Solidago,canadensis,NEWFS-158,0.41,0.41,0.00,0.41,0.59,0.00,0.0114,0.0452,27.26,1.98,1.98,21.26,2,48163,3498,3498,37561.83746,3533.568905,
3,1,Solidago,juncea,MARSB-403,,,,0.00,,1.00,0.0103,0.0333,219.79,4.04,4.05,207.62,4.05,504106,9266,9289,476192.6606,9288.990826,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
2,1,Solidago,puberula,NEWFS-757,0.25,0.25,0.00,0.25,0.75,0.00,0.0089,0.0541,13.68,2.09,2.11,7.66,2.09,21714,3317,3349,12158.73016,3317.460317,
2,1,Solidago,rugosa,MARSB-401,0.15,0.15,0.00,0.15,0.85,0.00,0.0151,0.0721,285.18,3.92,3.94,272.12,3.93,327041,4495,4518,312064.2202,4506.880734,
3,1,Solidago,rugosa,NEWFS-787,0.18,0.18,0.00,0.18,0.82,0.00,0.0077,0.0911,282.72,4.66,4.63,267.51,4.69,286154,4717,4686,270759.1093,4746.963563,
2,1,Solidago,rugosa,NEWFS-862,0.12,0.12,0.00,0.12,0.88,0.00,0.0062,0.0659,68.19,2.4,2.39,61.69,2.39,94577,3329,3315,85561.71983,3314.840499,
2,1,Solidago,rugosa,NEWFS-876,0.14,0.14,0.00,0.14,0.86,0.00,0.0036,0.0614,49.73,2.43,2.44,42.86,2.4,76508,3738,3754,65938.46154,3692.307692,
2,1,Solidago,rugosa,NEWFS-885,0.28,0.28,0.00,0.28,0.72,0.00,0.0077,0.0582,83.39,2.72,2.71,77.14,2.73,126540,4127,4112,117056.1457,4142.640364,
2,1,Solidago,rugosa,NEWFS-900,0.31,0.31,0.00,0.31,0.69,0.00,0.0084,0.0473,36.92,2.08,2.1,32.42,2.09,66284,3734,3770,58204.66786,3752.244165,
3,1,Solidago,rugosa,NEWFS-915,0.30,0.30,0.00,0.30,0.70,0.00,0.0131,0.0748,15.44,2.92,2.92,6.93,2.95,17565,3322,3322,7883.959044,3356.086462,
3,1,Solidago,sempervirens,NEWFS-799,0.00,0.00,0.00,0.00,1.00,0.00,0.0291,0.0842,55.64,4.31,4.35,42.09,4.33,49109,3804,3839,37149.16152,3821.712268,
3,1,Solidago,sempervirens,NEWFS-808,0.16,0.16,0.00,0.16,0.84,0.00,0.0203,0.0531,91.46,2.46,2.44,83.67,2.45,124605,3351,3324,113991.8256,3337.874659,
3,1,Solidago,sempervirens,NEWFS-868,0.23,0.23,0.00,0.23,0.77,0.00,0.0214,0.0684,211.12,4.83,4.81,196.83,4.85,235100,5379,5356,219187.0824,5400.890869,
3,1,Solidago,sempervirens,NEWFS-878,0.04,0.04,0.00,0.04,0.96,0.00,0.0216,0.0733,218.57,3.51,3.59,208.35,3.58,230316,3699,3783,219546.8915,3772.391992,
3,1,Solidago,sempervirens,NEWFS-895,0.06,0.06,0.00,0.06,0.94,0.00,0.018,0.0821,139.68,4.46,4.46,126.58,4.44,139540,4456,4456,126453.5465,4435.564436,
3,1,Solidago,sempervirens,NEWFS-907,0.17,0.17,0.00,0.17,0.83,0.00,0.0199,0.0449,294.11,4.25,4.23,281.8,4.26,453873,6559,6528,434876.5432,6574.074074,
3,1,Solidago,sempervirens,NEWFS-910,0.09,0.09,0.00,0.09,0.91,0.00,0.0293,0.0731,113.65,3.39,3.39,103.04,3.39,110986,3311,3311,100625,3310.546875,
3,1,Solidago,sempervirens,NEWFS-931,0.27,0.27,0.00,0.27,0.73,0.00,0.0256,0.0504,273.54,3.39,3.41,265.82,3.41,359921,4461,4487,349763.1579,4486.842105,
2,1,Sorghastrum,nutans,MARSB-387,0.27,0.27,0.00,0.27,0.73,0.00,0.1945,0.4337,1377.61,24.36,24.73,1330.32,24.44,219295,3878,3937,211766.9532,3890.480739,
1,1,Sorghastrum,nutans,NCBG-388,0.40,0.40,0.00,0.40,0.60,0.00,0.1984,0.2122,398.38,24.63,24.53,310.44,24.88,97024,5999,5974,75606.42962,6059.425231,
2,1,Sorghastrum,nutans,NCBG-391,0.13,0.13,0.00,0.13,0.87,0.00,0.1435,0.3798,61.36,17.45,17.43,9.93,17.45,11726,3335,3331,1897.573094,3334.6073,
1,1,Sorghastrum,nutans,NCBG-399,0.51,0.51,0.00,0.51,0.49,0.00,0.225,0.3453,287.25,24.61,24.52,198.81,24.62,50368,4315,4299,34860.59968,4317.026127,
NA,2,Sparganium,americanum,NEWFS-704,0.00,0.00,0.17,0.17,0.28,0.55,4.5882,0.8991,274.1,137.53,137.43,0,0,4995,2506,2505,0,0,
1,2,Sparganium,americanum,NEWFS-731,0.00,0.00,0.40,0.40,0.20,0.40,0.6873,0.4956,192.88,39.46,39.43,75.34,39.41,16306,3336,3333,6369.092907,3331.642573,
NA,2,Sparganium,americanum,NEWFS-747,0.00,0.00,0.33,0.33,0.17,0.50,5.8741,0.9034,186.58,94.31,94.54,0,0,2753,1392,1395,0,0,
3,1,Sparganium,cynosuroides,NCBG-383,0.01,0.01,0.00,0.01,0.99,0.00,0.2243,0.0951,382.03,10.76,10.76,336.99,10.79,119609,3369,3369,105507.201,3378.209142,
1,2,Spartina,patens,NEWFS-737,0.01,0.01,0.00,0.01,0.99,0.00,0.1359,0.0843,35.97,7.64,7.69,14.94,7.62,16335,3470,3492,6784.741144,3460.490463,
1,2,Spartina,patens,NEWFS-795,0.04,0.04,0.00,0.04,0.96,0.00,0.103,0.0617,15.75,5.34,5.34,0,5.33,9563,3242,3242,0,3236.187007,
1,2,Spartina,patens,NEWFS-817,0.03,0.03,0.00,0.03,0.97,0.00,0.947,0.0777,42.31,6.88,6.84,21.35,6.81,4129,671,668,2083.536645,664.5847565,
2,1,Spartina,pectinata,NEWFS-802,0.02,0.02,0.00,0.02,0.98,0.00,0.2421,0.1022,121.92,11.52,11.47,86.04,11.47,35411,3346,3331,24989.83445,3331.397037,
1,2,Spiraea,alba,NEWFS-860,0.78,0.78,0.00,0.78,0.21,0.01,0.0038,0.0717,17.98,2.86,2.87,10.99,2.85,23815,3788,3801,14556.29139,3774.834437,
2,1,Spiraea,alba,NEWFS-937,0.71,0.71,0.00,0.71,0.29,0.00,0.0051,0.0932,165.47,11.2,11.28,132.91,11.23,168332,11394,11475,135208.5453,11424.2116,
