GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
1,2,Decodon,verticillatus,NEWFS-918,,,,0.00,,1.00,0.04244,0.7236,74.0661,24.66,24.69,0,22.81,9669,3219,3223,0,2977.651298,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Dichanthelium,scoparium,MARSB-636,0.03,0.03,0.09,0.11,0.59,0.29,0.0664,0.1187,91.71,6.45,6.5,65.34,6.46,49546,3485,3512,35299.83793,3490.005402,
3,1,Digitaria,cognata,NEWFS-713,0.35,0.41,0.00,0.41,0.59,0.00,0.0295,0.3161,415.56,25.55,27.79,339.43,25,120243,7393,8041,98214.69907,7233.796296,
2,2,Diospyros,virginiana,NCBG-373,0.68,0.68,0.03,0.71,0.01,0.28,31.9386,0,1978.48,782.53,781.31,,391.82,6195,2450,2446,0,1226.791406,
3,1,Distichlis,spicata,NCBG-741,0.65,0.65,0.14,0.80,0.00,0.20,0.0778,0.2135,1269,18.12,24.87,1083.63,26.95,435633,6220,8538,371997.9403,9251.630621,
3,1,Distichlis,spicata,NCBG-746,0.77,0.77,0.00,0.77,0.23,0.00,0.0925,0.1102,235.96,7.55,7.55,223.94,7.57,116408,3725,3725,110478.5397,3734.583128,
3,1,Distichlis,spicata,NEWFS-723,0.72,0.72,0.03,0.75,0.02,0.23,0.0766,0.3721,249.55,15.24,15.35,205.15,15.54,55616,3396,3421,45720.9717,3463.338534,
3,1,Distichlis,spicata,NEWFS-735,0.67,0.67,0.03,0.70,0.18,0.12,0.1156,0.3711,31.19,13.21,13.22,0,6.66,6408,2714,2716,0,1368.399425,
3,1,Distichlis,spicata,NEWFS-736,0.87,0.87,0.01,0.88,0.06,0.06,0.1138,0.2351,118.65,15.44,15.47,74.22,15.44,34007,4425,4434,21272.57094,4425.336773,
3,1,Distichlis,spicata,NEWFS-762,0.60,0.60,0.05,0.65,0.11,0.25,0.0993,0.0982,149.09,6.85,6.9,129.61,6.94,75489,3468,3494,65625.31646,3513.924051,
3,1,Distichlis,spicata,NEWFS-796,0.76,0.76,0.06,0.82,0.04,0.14,0.123,0.1792,34.5345,10.1,10.09,4.22,10.09,11428,3342,3339,1396.426208,3338.848445,
